abhor           ひどく嫌う
abide           とどまる
abode           住所, 居住
abundance       豊富、あり余る量
abuse           乱用、虐待
accelerate      速める、促進する
accumulate      蓄積する
adapt to        --に順応する
adopt           採用する
adversary       敵、対戦相手
adverse         不利な, 反対する
adversity       逆境
advocate        提唱する、主張する
affiliate       関係する
affirmative     肯定的な
affix           添付する
affluent        裕福な
aftermath       結果
aggregation     凝集、集合
agitation       動揺
agonize         苦しみ悶える
allege          主張する
allegorical     寓意の
amiable         気立ての良い、親しみやすい
anachronistic   時代錯誤の
analogical      類推の
analogy         類推
anesthesia      麻酔
anguish         苦痛
antiquated      古臭くなった, 古風な, 老齢の
appease         なだめる、鎮める
apprehend       逮捕する
approachable    親しみやすい
aptitude        才能、適性
ascertain       突きとめる、確実にする
autonomy        自治
bestow          授ける
blemish         汚す
blitz           電撃戦, 大空襲
bribery         収賄
canton          州
celibacy        独身, 独身主義
censor          検閲する
clack           ぺちゃくちゃしゃべる
clairvoyant     透視の, 千里眼の, 千里眼の人
clash           衝突する, 調和しない
clergy          聖職者
coherent        明瞭な、筋のとおった
comprehend      理解する
comprehension   理解, 理解力
compress        圧縮する, 圧縮して詰める
concede         認める
conceive        考える
confine         閉じ込める、制限する
conscript       徴兵する
consecutive     連続的な
consequential   重大な
consistency     一貫性
contiguity      接触
converge        集まる
converse        談話する
crash           衝突する、墜落する
crush           押しつぶす、砕く
curtail         短縮する
decentralize    分散化する
deduce          推論する
deletion        削除
demeanor        ふるまい
descendant      子孫、派生物
disaffected     不満のある, 不忠な, 離反した
discard         捨てる、放棄する
disrupt         分裂させる, 混乱させる
distort         歪める
distract        気を散らす
draw up         （計画など）を練る
dread           恐れる, 懸念する
dreary          陰鬱な
drought         干ばつ
dwell on        --をくよくよ考える
dynasty         王朝
edible          食べられる
elicit          顕現させる, 導き出す
elongate        延長する
eloquent        雄弁な
emancipation    解放
embankment      堤防
embellish       装飾する、飾り立てる
embodiment      具体化、肉体化
eminent         著名な
encroach        侵害する
endow           寄付する
enigma          謎、不可解なもの
enrage          激怒させる
entangle        もつれさせる
entice          うまい話で--をさせる
eradicate       撲滅する、根絶する
erosion         浸食
erroneous       誤った
ethical         倫理の、道徳的な
even out        平らになる, 一様にする, 安定させる
evoke           呼び起こす, 引き起こす
excel           優れる、秀でている
exhume          発掘する
expel           追放する
exposure        さらすこと
exterior        外側の
extradite       引き渡す
extremity       極端, 窮地
facilitate      円滑にする、助長する
fallacious      誤りのある
falter          ためらう, 鈍る
faulty          欠陥のある
feat            偉業
flourish        繁茂する、活躍する
flunk           落第する, あきらめる
fraudulent      不正の
fundamental     基本的な、根本的な
gist            要点
grudge          悪意
habitat         生息地、居住環境
hive            ミツバチの巣
humble          謙虚な、身分が低い
illustrious     著名な
immemorial      太古からの
immune          免疫のある
impeach         弾劾する
impede          邪魔する、妨げる
inanimate       生命のない, 活気のない
inaugurate      就任させる
incarcerate     投獄する
incidentally    偶然に
incontinence    自制できないこと
incorporate     取り入れる
indigestion     消化不良
indulgence      寛大, 甘やかし
inevitably      必然的に
infection       感染
inflammation    燃焼, 燃え上がり, 炎症
infringe        侵害する
innate          生まれつきの、先天的な
insinuate       ほのめかす
instructive     ためになる
interdependence 相互依存
intimidate      怖がらせる
iridescent      玉虫色の
judicious       賢明な
labyrinthine    迷路の
laggard         ぐずぐずする人
lament          悲嘆する
lecherous       好色な
legible         読みやすい
legislation     法律
legitimate      合法的な
lenient         寛大な
lethal          致命的な
lucid           明解な
meager          乏しい
merciful        慈悲深い
nascent         初期の
nimble          軽快な
nocturnal       夜行性の
obsolete        時代遅れの、すたれた
odd             変な、奇妙な
officiate       務める, つかさどる
osteoporosis    骨粗鬆症
parch           干上がる, 焼ける
payroll         給与、従業員名簿
perception      知覚, 理解, 認識
periodic        周期的な, 定期的な
perish          滅びる
pervasion       普及
pick on         いじめる, 非難する
ponder          熟考する
precise         正確な
predecessor     前任者
prehistoric     先史の
preliminary     仮の
prevail         広がる
priestly        聖職者の
primate         霊長類
privatization   民営化
prominent       著名な、顕著な
prosper         繁栄する
provoke         引き起こす、刺激する
proxy           代理
pry             秘密を詮索する
radiant         明るい光を放つ
radiate         放射する
ratify          批准する、承認する
recession       不景気
redundant       余剰の
regional        地域の
renounce        放棄する
respectively    それぞれ、おのおの
respiratory     呼吸の
restore         修復する、回復させる
sanction        制裁
sector          部門、分野
serrated        のこぎり歯状の
shelve          棚上げする、見送る
shroud          死体を包む布、覆い
sit back        何もしないでいる
solicit         懇願する
solvency        支払能力
spur            拍車をかける、誘発させる
startling       驚くような
sterling        本物の
stimulate       刺激する、促す
strain          種族、品種
subsequent      その後の
substance       物質、資産
substantial     かなりの、相当な
succor          まさかの時の救助, 援軍
superannuate    時代遅れにする
surplus         余り、過剰
suspicion       疑い、容疑
swarm           大群
swindle         だます
swine           豚
thrive          成功する、繁栄する
thrust          押し付ける
transgress      違反する
utterance       発言
vermin          害虫, 害獣, 社会の害虫
viable          存続可能な
vicinity        付近
violate         違反する
vivacious       活発な
worsen          悪化する
